group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
genesisbot_0.0.2_tar-gz,pypi,,genesisbot,0.0.2,tar-gz,10,7.249023438,"['random.randint', 'asciigen']",encrypt,malicious
unilakedocs-theme_1.0.1_tar-gz,pypi,,unilakedocs-theme,1.0.1,tar-gz,126,2608.573242,NaN,NaN,benign
wtforms-json_0.3.5_tar-gz,pypi,,wtforms-json,0.3.5,tar-gz,18,40.2734375,NaN,NaN,benign
jstyleson_0.0.2_tar-gz,pypi,,jstyleson,0.0.2,tar-gz,8,5.639648438,NaN,NaN,benign
genesisbot_0.1.0_tar-gz,pypi,,genesisbot,0.1.0,tar-gz,10,9.956054688,"['random.randint', 'asciigen']",encrypt,malicious
sseclient-py_1.8.0_tar-gz,pypi,,sseclient-py,1.8.0,tar-gz,14,22.98242188,NaN,NaN,benign
sseclient-py_1.8.0_py2-py3-none-any-whl,pypi,,sseclient-py,1.8.0,py2-py3-none-any-whl,10,19.24804688,NaN,NaN,benign
opencensus-ext-logging_0.1.1_tar-gz,pypi,,opencensus-ext-logging,0.1.1,tar-gz,15,11.15332031,NaN,NaN,benign
genesisbot_0.0.6_tar-gz,pypi,,genesisbot,0.0.6,tar-gz,10,6.813476563,"['random.randint', 'asciigen']",encrypt,malicious
opencensus-ext-logging_0.1.1_py2-py3-none-any-whl,pypi,,opencensus-ext-logging,0.1.1,py2-py3-none-any-whl,9,5.069335938,NaN,NaN,benign
game-of-life-m_0.0.2_tar-gz,pypi,,game-of-life-m,0.0.2,tar-gz,32,26.54785156,NaN,NaN,benign
pytest-freezegun_0.4.2_zip,pypi,,pytest-freezegun,0.4.2,zip,14,18.11816406,NaN,NaN,benign
genesisbot_0.1.3_tar-gz,pypi,,genesisbot,0.1.3,tar-gz,10,9.391601563,"['random.randint', 'asciigen']",encrypt,malicious
pytest-freezegun_0.4.2_py2-py3-none-any-whl,pypi,,pytest-freezegun,0.4.2,py2-py3-none-any-whl,8,7.815429688,NaN,NaN,benign
soda-core-spark_3.0.51_tar-gz,pypi,,soda-core-spark,3.0.51,tar-gz,10,19.08496094,NaN,NaN,benign
soda-core-spark_3.0.51_py3-none-any-whl,pypi,,soda-core-spark,3.0.51,py3-none-any-whl,5,17.44238281,NaN,NaN,benign
genesisbot_0.0.8_tar-gz,pypi,,genesisbot,0.0.8,tar-gz,10,9.967773438,"['random.randint', 'asciigen']",encrypt,malicious
inference-schema_1.7_py3-none-any-whl,pypi,,inference-schema,1.7,py3-none-any-whl,18,65.47753906,NaN,NaN,benign
ffmpeg_1.4_tar-gz,pypi,,ffmpeg,1.4,tar-gz,13,20.82519531,NaN,NaN,benign
lazy-model_0.2.0_tar-gz,pypi,,lazy-model,0.2.0,tar-gz,11,25.14941406,NaN,NaN,benign
genesisbot_0.0.7_tar-gz,pypi,,genesisbot,0.0.7,tar-gz,10,7.944335938,"['random.randint', 'asciigen']",encrypt,malicious
